Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.035,341.9971
0,2,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0354,409.4062
0,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0349,408.2765
0,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0346,388.7781
0,5,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.3333,0.8333,0.3333,0.8333,1,7,0.0349,409.0991
0,6,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0369,372.9634
0,7,1,1,0.5,0.875,0.3333,0.8333,0.5,0.875,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0568,384.2208
1,0,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0485,349.1339
1,2,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0343,344.0388
1,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0354,346.0478
1,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0366,338.9725
1,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0505,371.7804
1,6,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0525,411.4469
1,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0556,323.3391
2,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0343,349.7594
2,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0347,341.653
2,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0351,382.7694
2,4,1,1,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,7,0.0356,354.3693
2,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,0.0345,355.7423
2,6,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.034,345.8131
2,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0502,355.6963
3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0335,265.8937
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0348,249.4088
3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0481,238.6568
3,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0343,234.9737
3,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0346,250.0974
3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0502,251.4074
3,7,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0347,260.2186
4,0,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.0349,277.1813
4,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0341,259.121
4,2,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0536,291.3237
4,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0341,241.0496
4,5,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.4,0.85,0.3333,0.8333,0.3333,0.8333,1,7,0.0558,274.2811
4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0344,257.1096
4,7,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0512,274.1979
5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0553,225.9987
5,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0498,259.4276
5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0342,254.9209
5,3,1,1,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0553,255.5959
5,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0525,244.6092
5,6,1,1,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0552,253.8274
5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0483,251.9667
6,0,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0507,355.7269
6,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0498,335.7398
6,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0509,346.8567
6,3,1,1,1,1,1,1,0.75,0.9375,0.8,0.95,0.6667,0.9167,0.6667,0.9167,1,7,0.0483,345.3596
6,4,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0354,335.789
6,5,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,7,0.0354,342.4698
6,7,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,7,0.0354,330.938
7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.047,247.5883
7,1,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.05,272.5319
7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0543,275.0285
7,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.0549,303.0891
7,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0345,272.4917
7,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,0.0339,259.1903
7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0376,249.2937
,,0.285714285714286,0.821428571428571,0.339285714285714,0.834821428571429,0.380953571428572,0.845239285714286,0.4375,0.859375,0.485714285714286,0.871428571428572,0.520828571428571,0.880203571428572,0.520828571428571,0.880203571428572,1,7,0.042451785714286,309.440423214286
