Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0347,179.0262
0,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0491,208.9145
0,3,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0349,180.1231
0,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0502,163.6742
0,5,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.0514,203.0047
0,6,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0352,172.2322
0,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,0.0484,189.9604
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0349,164.9435
1,2,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0506,186.0099
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0349,163.2361
1,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,0.0349,173.7568
1,5,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.0486,177.7348
1,6,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0491,166.8743
1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0345,181.9566
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0343,183.9087
2,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0349,218.4951
2,3,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0348,176.3642
2,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0368,187.6414
2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0342,171.667
2,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0347,171.0958
2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0483,187.5821
3,0,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0525,175.081
3,1,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.0338,176.0293
3,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0492,180.0217
3,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.0478,183.6632
