Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.214285714285714,0.229166071428571,0.264880357142857,0.323214285714286,0.394048214285714,0.462157142857143,0.462157142857143,0.865696428571428,1,49,7.7E+03,2.3E+03
Archipelago,0.202380357142857,0.21875,0.244641071428571,0.299405357142857,0.350426785714286,0.402635714285714,0.402635714285714,0.849701785714286,1,49,6.1E+03,1.4E+03
BigGameHunters,0.196428571428571,0.211308928571429,0.235117857142857,0.286607142857143,0.35,0.412841071428571,0.412841071428571,0.852305357142857,1,49,4.8E+03,1.7E+03
Brushfire,0.214285714285714,0.241071428571429,0.291667857142857,0.299107142857143,0.339285714285714,0.382653571428571,0.382653571428571,0.845610714285714,1,49,9.5E+03,1.4E+03
Caldera,0.294642857142857,0.357141071428571,0.355358928571429,0.393494642857143,0.460692857142857,0.512932142857143,0.512932142857143,0.877978571428571,1,49,3.8E+03,7.3E+02
Circle,,,,,,,0.773,0.944,,,3.9E+03,8.4E+02
CrescentMoon,0.178571428571429,0.244046428571429,0.292857142857143,0.342260714285714,0.381975,0.434523214285714,0.434523214285714,0.858257142857143,1,49,6.6E+03,1.5E+03
Desolation,0.196428571428571,0.241071428571429,0.285710714285714,0.313392857142857,0.336310714285714,0.369901785714286,0.369901785714286,0.840776785714286,1,49,6.6E+03,1.8E+03
EbonLakes,0.196428571428571,0.214285714285714,0.267857142857143,0.301785714285714,0.305951785714286,0.343966071428571,0.343966071428571,0.835941071428571,1,49,1.2E+04,1.9E+03
Entanglement,0.1875,0.244046428571429,0.316958928571429,0.369344642857143,0.402298214285714,0.444726785714286,0.444726785714286,0.861233928571429,1,49,4.9E+03,7.4E+02
Eruption,0.160714285714286,0.223214285714286,0.2485125,0.289285714285714,0.348808928571429,0.418792857142857,0.418792857142857,0.854539285714286,1,49,6.6E+03,2.3E+03
HotZone,0.273808928571429,0.308035714285714,0.307144642857143,0.324405357142857,0.359694642857143,0.398057142857143,0.398057142857143,0.848205357142857,1,49,7.0E+03,1.7E+03
Isolation,0.258928571428571,0.297619642857143,0.3392875,0.366071428571429,0.408333928571429,0.455783928571429,0.455783928571429,0.863839285714286,1,49,9.2E+03,1.6E+03
Legacy,0.111111111111111,0.138888888888889,0.166666666666667,0.212961111111111,0.249205555555556,0.261577777777778,0.261577777777778,0.814816666666667,1,49,7.8E+03,1.6E+03
OrbitalGully,0.233333333333333,0.25,0.27778,0.308333333333333,0.353333333333333,0.383326666666667,0.383326666666667,0.845826666666667,1,49,1.6E+04,2.2E+03
Predators,0.258928571428571,0.238094642857143,0.2827375,0.305357142857143,0.352382142857143,0.409014285714286,0.409014285714286,0.852305357142857,1,49,5.0E+03,9.6E+02
Ramparts,0.159090909090909,0.153409090909091,0.171211363636364,0.179925,0.221429545454545,0.279361363636364,0.279361363636364,0.819134090909091,1,49,2.5E+04,6.6E+03
RedCanyons,0.232142857142857,0.229166071428571,0.275294642857143,0.316964285714286,0.3702375,0.422192857142857,0.422192857142857,0.855653571428571,1,49,7.1E+03,1.8E+03
Rosewood,0.178571428571429,0.1875,0.2261875,0.294642857142857,0.367857142857143,0.437501785714286,0.437501785714286,0.859005357142857,1,49,9.2E+03,2.3E+03
Sanctuary,0.196428571428571,0.2202375,0.2232125,0.247321428571429,0.283333928571429,0.346091071428571,0.346091071428571,0.836683928571429,1,49,1.7E+04,3.5E+03
ShroudPlatform,0.333333333333333,0.307692307692308,0.324784615384615,0.352564102564103,0.38974358974359,0.440171794871795,0.440171794871795,0.86004358974359,1,49,2.2E+04,6.5E+03
SpaceAtoll,0.160714285714286,0.178571428571429,0.227378571428571,0.2514875,0.258673214285714,0.290180357142857,0.290180357142857,0.822175,1,49,1.9E+04,4.2E+03
SpaceDebris,0.211308928571429,0.239583928571429,0.2788625,0.316369642857143,0.353146428571429,0.3836125,0.3836125,0.845614285714286,1,49,9.5E+03,1.8E+03
SteppingStones,0.232142857142857,0.309523214285714,0.388394642857143,0.424107142857143,0.488094642857143,0.539960714285714,0.539960714285714,0.885039285714286,1,49,2.8E+03,6.9E+02
Triskelion,0.25,0.258928571428571,0.244046428571429,0.258928571428571,0.278571428571429,0.3057,0.3057,0.826267857142857,1,49,1.9E+04,5.0E+03
WarpGates,0.232142857142857,0.267857142857143,0.2857125,0.316964285714286,0.342857142857143,0.383501785714286,0.383501785714286,0.845607142857143,1,49,9.9E+03,1.9E+03
WatersEdge,0.196428571428571,0.193451785714286,0.217258928571429,0.26875,0.328571428571429,0.4039125,0.4039125,0.851192857142857,1,49,1.2E+04,4.4E+03
WaypointJunction,0.125,0.160714285714286,0.2202375,0.25,0.314285714285714,0.389880357142857,0.389880357142857,0.847469642857143,1,49,8.5E+03,1.7E+03
WinterConquest,0.178571428571429,0.232142857142857,0.2738125,0.330357142857143,0.389285714285714,0.431544642857143,0.431544642857143,0.857883928571428,1,49,1.3E+04,3.5E+03
,0.211875862193362,0.228458188478188,0.261127446220446,0.294804829059829,0.339453526473526,0.389730178821179,0.411017306505755,0.852510515260601,1,49,1.0E+04,2.4E+03
,,,,,,,0.093749965734479,0.023662649966285,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,0.462157142857143,46.2,,86.6,,,,,,
,,,0.402635714285714,40.3,,85,,,,,,
,,,0.412841071428571,41.3,,85.2,,,,,,
,,,0.382653571428571,38.3,,84.6,,,,,,
,,,0.512932142857143,51.3,,87.8,,,,,,
,,,0.434523214285714,43.5,,85.8,,,,,,
,,,0.369901785714286,37,,84.1,,,,,,
,,,0.343966071428571,34.4,,83.6,,,,,,
,,,0.444726785714286,44.5,,86.1,,,,,,
,,,0.418792857142857,41.9,,85.5,,,,,,
,,,0.398057142857143,39.8,,84.8,,,,,,
,,,0.455783928571429,45.6,,86.4,,,,,,
,,,0.261577777777778,26.2,,81.5,,,,,,
,,,0.383326666666667,38.3,,84.6,,,,,,
,,,0.409014285714286,40.9,,85.2,,,,,,
,,,0.279361363636364,27.9,,81.9,,,,,,
,,,0.422192857142857,42.2,,85.6,,,,,,
,,,0.437501785714286,43.8,,85.9,,,,,,
,,,0.346091071428571,34.6,,83.7,,,,,,
,,,0.440171794871795,44,,86,,,,,,
,,,0.290180357142857,29,,82.2,,,,,,
,,,0.3836125,38.4,,84.6,,,,,,
,,,0.539960714285714,54,,88.5,,,,,,
,,,0.3057,30.6,,82.6,,,,,,
,,,0.383501785714286,38.4,,84.6,,,,,,
,,,0.4039125,40.4,,85.1,,,,,,
,,,0.389880357142857,39,,84.7,,,,,,
,,,0.431544642857143,43.2,,85.8,,,,,,
