Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.303571428571429,0.25,0.285716071428571,0.330357142857143,0.385714285714286,0.437498214285714,0.437498214285714,0.859373214285714,1,7,0.092094642857143,74.3947714285714
Archipelago,0.25,0.267857142857143,0.2797625,0.3125,0.360714285714286,0.413691071428571,0.413691071428571,0.853423214285714,1,7,0.091496428571429,60.4692660714286
BigGameHunters,0.235714285714286,0.244048214285714,0.276358928571429,0.339285714285714,0.402380357142857,0.458773214285714,0.458773214285714,0.863832142857143,1.01785714285714,7,0.091557142857143,57.9820839285714
Brushfire,0.303571428571429,0.3125,0.339280357142857,0.348214285714286,0.378571428571429,0.407735714285714,0.407735714285714,0.851932142857143,1,7,0.092544642857143,141.5114125
Caldera,0.285714285714286,0.309523214285714,0.336308928571429,0.36875,0.4125,0.474491071428571,0.474491071428571,0.868676785714286,1.00297678571429,7,0.090778571428572,59.2055089285714
CrescentMoon,0.267857142857143,0.285714285714286,0.297621428571429,0.316964285714286,0.364285714285714,0.407739285714286,0.407739285714286,0.851935714285714,1,7,0.090819642857143,55.6420946428572
Desolation,0.392857142857143,0.330357142857143,0.327378571428571,0.334821428571429,0.360714285714286,0.398814285714286,0.398814285714286,0.849707142857143,1,7,0.089948214285714,59.2909732142857
EbonLakes,0.357142857142857,0.3125,0.339283928571429,0.375,0.417857142857143,0.431548214285714,0.431548214285714,0.8578875,1,7,0.091360714285714,95.6443321428571
Entanglement,0.3452375,0.352678571428571,0.348807142857143,0.382441071428571,0.395408928571428,0.444944642857143,0.444944642857143,0.860867857142857,1.00595178571429,7,0.094258928571429,62.0435142857143
Eruption,0.232142857142857,0.232142857142857,0.214282142857143,0.254464285714286,0.303571428571429,0.36905,0.36905,0.842264285714286,1,7,0.094023214285714,136.329530357143
HotZone,0.321428571428571,0.339285714285714,0.369044642857143,0.401785714285714,0.45,0.494048214285714,0.494048214285714,0.8735125,1,7,0.063439285714286,122.531785714286
Isolation,0.307142857142857,0.324405357142857,0.371598214285714,0.4375,0.494642857142857,0.533075,0.533075,0.882808928571428,1.01488214285714,7,0.090064285714286,58.7758035714286
Legacy,0.111111111111111,0.111111111111111,0.166655555555556,0.222222222222222,0.3,0.361111111111111,0.361111111111111,0.840277777777778,1,7,0.097205555555556,200.657866666667
OrbitalGully,0.303571428571429,0.303571428571429,0.345239285714286,0.383928571428571,0.4,0.431548214285714,0.431548214285714,0.857142857142857,1.00595178571429,7,0.0885,97.4603928571429
Predators,0.255951785714286,0.276785714285714,0.290475,0.333333928571429,0.384183928571428,0.421871428571429,0.421871428571429,0.855651785714286,1.00595178571429,7,0.095741071428572,63.0416375
Ramparts,0.196428571428571,0.1875,0.208328571428571,0.232142857142857,0.257142857142857,0.312501785714286,0.312501785714286,0.828126785714286,1,7,0.094544642857143,142.284983928571
RedCanyons,0.236607142857143,0.284821428571429,0.295833928571429,0.323980357142857,0.37315,0.410960714285714,0.410960714285714,0.852305357142857,1.01488035714286,7,0.089521428571429,68.4966232142857
Rosewood,0.169642857142857,0.205357142857143,0.254460714285714,0.320535714285714,0.367260714285714,0.415814285714286,0.415814285714286,0.854166071428571,1.00595357142857,7,0.093976785714286,143.262369642857
Sanctuary,0.25,0.223214285714286,0.249994642857143,0.267857142857143,0.292857142857143,0.324407142857143,0.324407142857143,0.831103571428571,1,7,0.092748214285714,106.791996428571
ShroudPlatform,0.321428571428571,0.3125,0.315473214285714,0.334821428571429,0.353571428571429,0.404766071428571,0.404766071428571,0.851194642857143,1,7,0.091853571428572,157.832441071429
SpaceAtoll,0.241071428571429,0.270833928571429,0.2827375,0.315178571428571,0.333928571428571,0.343535714285714,0.343535714285714,0.835935714285714,1.00297678571429,7,0.093066071428572,154.712146428571
SpaceDebris,0.267857142857143,0.276785714285714,0.297616071428571,0.316964285714286,0.357142857142857,0.401789285714286,0.401789285714286,0.85045,1,7,0.092321428571429,80.2761607142857
SteppingStones,0.410714285714286,0.375,0.404760714285714,0.446428571428571,0.485714285714286,0.5506,0.5506,0.887653571428571,1,7,0.090796428571429,56.8652767857143
Triskelion,0.232142857142857,0.223214285714286,0.238094642857143,0.2625,0.291666071428571,0.311646428571429,0.311646428571429,0.82775,1.00297678571429,7,0.091101785714286,122.0118875
WarpGates,0.267857142857143,0.267857142857143,0.285710714285714,0.308035714285714,0.325,0.348221428571429,0.348221428571429,0.837060714285714,1,7,0.094358928571429,84.2594625
WatersEdge,0.142857142857143,0.160714285714286,0.166666071428571,0.205357142857143,0.257142857142857,0.312496428571429,0.312496428571429,0.828121428571428,1,7,0.088298214285714,88.0024839285714
WaypointJunction,0.196428571428571,0.178571428571429,0.190473214285714,0.223214285714286,0.264285714285714,0.3273875,0.3273875,0.831851785714286,1,7,0.091157142857143,144.924039285714
WinterConquest,0.142857142857143,0.1875,0.279757142857143,0.361607142857143,0.417857142857143,0.473221428571429,0.473221428571429,0.868310714285714,1,7,0.091546428571429,127.968096428571
,0.262460983560091,0.264512514172336,0.28777570861678,0.323578280895692,0.363830867346939,0.407974567743764,0.407974567743764,0.851904435941043,1.00286996173469,7,0.091040121882086,100.809605059524
,,,,,,,0.064078557805721,0.015955795255847,,,,
