Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.285714285714286,0.3125,0.3511875,0.388392857142857,0.45,0.511903571428571,0.511903571428571,0.877975,1,7,0.038353571428572,211.176253571429
Archipelago,0.214285714285714,0.214285714285714,0.249996428571429,0.308035714285714,0.364285714285714,0.443458928571429,0.443458928571429,0.860869642857143,1,7,0.037883928571429,190.5217875
BigGameHunters,0.196428571428571,0.223214285714286,0.261901785714286,0.3125,0.375,0.434525,0.434525,0.858632142857143,1,7,0.039014285714286,191.376478571429
Brushfire,0.285714285714286,0.339285714285714,0.380953571428572,0.4375,0.485714285714286,0.520828571428571,0.520828571428571,0.880203571428572,1,7,0.042451785714286,309.440423214286
Caldera,0.339285714285714,0.366071428571429,0.398807142857143,0.446428571428571,0.514285714285714,0.568448214285714,0.568448214285714,0.892108928571429,1,7,0.039396428571429,180.819448214286
CrescentMoon,0.25,0.241071428571429,0.273805357142857,0.303571428571429,0.353571428571429,0.416669642857143,0.416669642857143,0.854169642857143,1,7,0.037625,122.209208928571
Desolation,0.375,0.366071428571429,0.386901785714286,0.424107142857143,0.464285714285714,0.511908928571429,0.511908928571429,0.877980357142857,1,7,0.039046428571429,116.014096428571
EbonLakes,0.321428571428571,0.339285714285714,0.374996428571429,0.397321428571429,0.439285714285714,0.479169642857143,0.479169642857143,0.869794642857143,1,7,0.039694642857143,169.1236375
Entanglement,0.428571428571429,0.410714285714286,0.458333928571429,0.5,0.539285714285714,0.583332142857143,0.583332142857143,0.895832142857143,1,7,0.039553571428572,134.833351785714
Eruption,0.160714285714286,0.169642857142857,0.208326785714286,0.263392857142857,0.360714285714286,0.437496428571429,0.437496428571429,0.859371428571428,1,7,0.039030357142857,199.386623214286
HotZone,0.25,0.294642857142857,0.345232142857143,0.383928571428571,0.435714285714286,0.488101785714286,0.488101785714286,0.872030357142857,1,7,0.038444642857143,132.871533928571
Isolation,0.339285714285714,0.419642857142857,0.452380357142857,0.517857142857143,0.564285714285714,0.610121428571429,0.610121428571429,0.902532142857143,1,7,0.038510714285714,123.758417857143
Legacy,0.321428571428571,0.339285714285714,0.303575,0.294642857142857,0.307142857142857,0.351191071428571,0.351191071428571,0.837798214285714,1,7,0.039807142857143,176.828144642857
OrbitalGully,0.160714285714286,0.205357142857143,0.261905357142857,0.321428571428571,0.357142857142857,0.4047625,0.4047625,0.851191071428571,1,7,0.038078571428572,159.9096875
Predators,0.357142857142857,0.410714285714286,0.446428571428571,0.486607142857143,0.521428571428571,0.5625,0.5625,0.890625,1,7,0.038551785714286,127.768048214286
Ramparts,0.214285714285714,0.205357142857143,0.2261875,0.25,0.289285714285714,0.342264285714286,0.342264285714286,0.835567857142857,1,7,0.038305357142857,213.2562125
RedCanyons,0.379464285714286,0.355357142857143,0.383923214285714,0.420917857142857,0.457589285714286,0.5119125,0.5119125,0.878355357142857,1.00892857142857,7,0.038360714285714,124.2912625
Rosewood,0.232142857142857,0.241071428571429,0.285710714285714,0.334821428571429,0.396428571428571,0.440478571428571,0.440478571428571,0.860121428571429,1,7,0.038919642857143,203.864478571429
Sanctuary,0.214285714285714,0.276785714285714,0.279760714285714,0.285714285714286,0.325,0.363096428571429,0.363096428571429,0.840775,1,7,0.038242857142857,191.053626785714
ShroudPlatform,0.303571428571429,0.321428571428571,0.333328571428571,0.370535714285714,0.403571428571429,0.443451785714286,0.443451785714286,0.8608625,1,7,0.038483928571429,232.507151785714
SpaceAtoll,0.214285714285714,0.258928571428571,0.273807142857143,0.325892857142857,0.364285714285714,0.389885714285714,0.389885714285714,0.847475,1,7,0.0391875,231.441632142857
SpaceDebris,0.142857142857143,0.178571428571429,0.214283928571429,0.276785714285714,0.325,0.383930357142857,0.383930357142857,0.845983928571429,1,7,0.037155357142857,156.158226785714
SteppingStones,0.375,0.428571428571429,0.476185714285714,0.526785714285714,0.585714285714286,0.633930357142857,0.633930357142857,0.908483928571429,1,7,0.038076785714286,110.723641071429
Triskelion,0.285714285714286,0.339285714285714,0.351189285714286,0.392857142857143,0.439285714285714,0.482144642857143,0.482144642857143,0.8705375,1,7,0.039707142857143,189.7079875
WarpGates,0.267857142857143,0.276785714285714,0.303569642857143,0.334821428571429,0.378571428571429,0.422621428571429,0.422621428571429,0.855657142857143,1,7,0.039026785714286,144.839192857143
WatersEdge,0.178571428571429,0.196428571428571,0.214285714285714,0.267857142857143,0.328571428571429,0.389876785714286,0.389876785714286,0.847466071428571,1,7,0.038048214285714,161.414005357143
WaypointJunction,0.303571428571429,0.339285714285714,0.351192857142857,0.383928571428571,0.428571428571429,0.499998214285714,0.499998214285714,0.874998214285714,1,7,0.0376875,216.102817857143
WinterConquest,0.178571428571429,0.223214285714286,0.2916625,0.352678571428571,0.407142857142857,0.461314285714286,0.461314285714286,0.865332142857143,1,7,0.039739285714286,168.694071428571
,0.270567602040816,0.296173469387755,0.326422130102041,0.368189668367347,0.416470025510204,0.467475829081633,0.467475829081633,0.866883227040816,1.00031887755102,7,0.038799426020408,174.64612315051
,,,,,,,0.076264380443412,0.019073700589958,,,,
