Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.321428571,0.357142857,0.440473214,0.508928571,0.560714286,0.610116071,0.610116071,0.902526786,1,7,0.076310714,342.3821571
Archipelago,0.232142857,0.285714286,0.345235714,0.397321429,0.471428571,0.538691071,0.538691071,0.884673214,1,7,0.079378571,284.9444929
BigGameHunters,0.178571429,0.178571429,0.214280357,0.330357143,0.45,0.541667857,0.541667857,0.885417857,1,7,0.063816071,369.3547732
Brushfire,0,0.066666667,0.088886667,0.083333333,0.08,0.13334,0.13334,0.78334,1,7,0.07154,185.3166667
Caldera,0.410714286,0.4375,0.446428571,0.491071429,0.557142857,0.624996429,0.624996429,0.906246429,1,7,0.084214286,305.3404625
CatwalkAlley,0.1,0.15,0.13333,0.125,0.16,0.20001,0.20001,0.80001,1,7,0.07768,297.4549
Circle,0.660714286,0.758928571,0.779766071,0.808035714,0.839285714,0.866066071,0.866066071,0.9665125,1,7,0.0635875,261.9331661
CrescentMoon,0.285714286,0.276785714,0.279757143,0.330357143,0.392857143,0.458330357,0.458330357,0.864580357,1,7,0.080825,293.4674857
Desolation,0.321428571,0.3125,0.380953571,0.4375,0.510714286,0.58035,0.58035,0.895082143,1,7,0.079544643,256.3527643
EbonLakes,0.267857143,0.294642857,0.374996429,0.419642857,0.464285714,0.514876786,0.514876786,0.878716071,1,7,0.086648214,276.3074804
Entanglement,0.428571429,0.446428571,0.482141071,0.522321429,0.578571429,0.627975,0.627975,0.906992857,1,7,0.109380357,226.3531482
Eruption,0.178571429,0.151785714,0.220228571,0.303571429,0.392857143,0.461310714,0.461310714,0.865328571,1,7,0.076244643,292.4795696
HotZone,0.375,0.401785714,0.410714286,0.464285714,0.517857143,0.580357143,0.580357143,0.895089286,1,7,0.063817857,271.4644482
Isolation,0.339285714,0.392857143,0.500001786,0.522321429,0.567857143,0.622023214,0.622023214,0.905505357,1,7,0.062196429,309.8039125
Legacy,0.267857143,0.25,0.249992857,0.28125,0.342857143,0.383930357,0.383930357,0.845983929,1,7,0.067551786,226.7651429
NovaStation,0.222222222,0.277777778,0.2963,0.305555556,0.311111111,0.333344444,0.333344444,0.833344444,1,7,0.100988889,224.0697444
OrbitalGully,0.285714286,0.330357143,0.398805357,0.446428571,0.492857143,0.526783929,0.526783929,0.881694643,1,7,0.068139286,295.7392232
Predators,0.357142857,0.410714286,0.428569643,0.477678571,0.532142857,0.589285714,0.589285714,0.897321429,1,7,0.080866071,235.5608232
Ramparts,0.232142857,0.276785714,0.279760714,0.325892857,0.367857143,0.416667857,0.416667857,0.854167857,1,7,0.079369643,359.06235
RedCanyons,0.267857143,0.330357143,0.392857143,0.441964286,0.5,0.574408929,0.574408929,0.893605357,1,7,0.075819643,295.2034464
Rosewood,0.196428571,0.276785714,0.321426786,0.392857143,0.428571429,0.494042857,0.494042857,0.873507143,1,7,0.0730875,379.8813661
Sanctuary,0.214285714,0.232142857,0.261901786,0.267857143,0.317857143,0.363096429,0.363096429,0.840775,1,7,0.081555357,257.6214482
ShroudPlatform,0.232142857,0.205357143,0.267851786,0.294642857,0.342857143,0.380955357,0.380955357,0.845241071,1,7,0.082228571,256.7863054
SpaceAtoll,0.285714286,0.241071429,0.261901786,0.285714286,0.314285714,0.3601125,0.3601125,0.840023214,1,7,0.080207143,267.8170357
SpaceDebris,0.214285714,0.196428571,0.238089286,0.299107143,0.360714286,0.425596429,0.425596429,0.8564,1,7,0.070276786,270.8399179
SteppingStones,0.482142857,0.508928571,0.565478571,0.629464286,0.682142857,0.726185714,0.726185714,0.931542857,1,7,0.063189286,204.1813607
Triskelion,0.321428571,0.321428571,0.363092857,0.379464286,0.4,0.455357143,0.455357143,0.863839286,1,7,0.069125,353.4030286
WarpGates,0.285714286,0.276785714,0.2857125,0.321428571,0.378571429,0.440476786,0.440476786,0.860119643,1,7,0.06695,291.1499482
WatersEdge,0.160714286,0.196428571,0.220233929,0.276785714,0.35,0.43155,0.43155,0.857889286,1,7,0.073939286,307.5911857
WaypointJunction,0.285714286,0.321428571,0.351182143,0.383928571,0.439285714,0.5119,0.5119,0.877971429,1,7,0.069633929,259.3458607
WinterConquest,0.232142857,0.241071429,0.279757143,0.3125,0.364285714,0.434523214,0.434523214,0.858630357,1,7,0.095508929,284.8333
,0.278827445,0.303392217,0.340648637,0.382792499,0.434482847,0.490591238,0.490591238,0.872647689,1,7,0.076568432,282.0260295
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time,,
,,,,Average,49.1%,87.3%,1,7,7.7E-02,2.8E+02,,
