Initial,Goal,TPR_total,ACC_total,spread,planner_calls,online_time,offline_time
0.0000,2.0000,0.9423,0.9615,1.0000,0.0000,0.0370,0.0000
0.0000,2.0000,0.9667,0.9778,1.0000,0.0000,0.0320,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0575,0.0000
0.0000,2.0000,0.9053,0.9368,1.0000,0.0000,0.0275,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0257,0.0000
0.0000,3.0000,0.8860,0.9240,1.0000,0.0000,0.0371,0.0000
0.0000,3.0000,0.9667,0.9778,1.0000,0.0000,0.0309,0.0000
0.0000,2.0000,0.9444,0.9630,1.0000,0.0000,0.0342,0.0000
0.0000,1.0000,0.9714,0.9810,1.0000,0.0000,0.0561,0.0000
0.0000,3.0000,0.9727,0.9818,1.0000,0.0000,0.0443,0.0000
0.0000,2.0000,0.8784,0.9189,1.0000,0.0000,0.0213,0.0000
0.0000,1.0000,0.9858,0.9905,1.0000,0.0000,0.0455,0.0000
0.0000,1.0000,0.9597,0.9732,1.0000,0.0000,0.0465,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0345,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0195,0.0000
0.0000,2.0000,0.9545,0.9697,1.0000,0.0000,0.0321,0.0000
0.0000,2.0000,0.9778,0.9852,1.0000,0.0000,0.0362,0.0000
0.0000,3.0000,0.9689,0.9793,1.0000,0.0000,0.0442,0.0000
0.0000,2.0000,0.9595,0.9730,1.0000,0.0000,0.0218,0.0000
0.0000,1.0000,0.8906,0.9271,1.0000,0.0000,0.0183,0.0000
0.0000,3.0000,0.9458,0.9639,1.0000,0.0000,0.0433,0.0000
0.0000,3.0000,0.9674,0.9783,1.0000,0.0000,0.0235,0.0000
0.0000,2.0000,0.9677,0.9785,1.0000,0.0000,0.0237,0.0000
0.0000,1.0000,0.9494,0.9662,1.0000,0.0000,0.0204,0.0000
0.0000,3.0000,0.9487,0.9658,1.0000,0.0000,0.0202,0.0000
0.0000,1.0000,0.9524,0.9683,1.0000,0.0000,0.0214,0.0000
0.0000,2.0000,0.9691,0.9794,1.0000,0.0000,0.0370,0.0000
0.0000,1.0000,0.9826,0.9884,1.0000,0.0000,0.0314,0.0000
0.0000,3.0000,0.9077,0.9385,1.0000,0.0000,0.0168,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0206,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0496,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0281,0.0000
0.0000,3.0000,0.9756,0.9837,1.0000,0.0000,0.0336,0.0000
0.0000,1.0000,0.9571,0.9714,1.0000,0.0000,0.0486,0.0000
0.0000,1.0000,0.9375,0.9583,1.0000,0.0000,0.0270,0.0000
0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0318,0.0000
0.0000,2.0000,0.9091,0.9394,1.0000,0.0000,0.0393,0.0000
0.0000,1.0000,0.9079,0.9386,1.0000,0.0000,0.0310,0.0000
0.0000,3.0000,0.9766,0.9844,1.0000,0.0000,0.0552,0.0000
0.0000,2.0000,0.9750,0.9833,1.0000,0.0000,0.0361,0.0000
0.0000,3.0000,0.9554,0.9702,1.0000,0.0000,0.0427,0.0000
0.0000,3.0000,0.9000,0.9333,1.0000,0.0000,0.0217,0.0000
0.0000,3.0000,0.9549,0.9699,1.0000,0.0000,0.0365,0.0000
0.0000,3.0000,0.9762,0.9841,1.0000,0.0000,0.0445,0.0000
0.0000,3.0000,0.9103,0.9402,1.0000,0.0000,0.0229,0.0000
0.0000,1.0000,0.7473,0.8315,1.0000,0.0000,0.0247,0.0000
0.0000,2.0000,0.8580,0.9053,1.0000,0.0000,0.0455,0.0000
0.0000,2.0000,0.8932,0.9288,1.0000,0.0000,0.0285,0.0000
0.0000,1.0000,0.9630,0.9753,1.0000,0.0000,0.0292,0.0000
0.0000,3.0000,0.9521,0.9681,1.0000,0.0000,0.0624,0.0000
